country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",12-04-2026 11:00,25.586562,85.043586,PM2.5,22,330,121
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",12-04-2026 11:00,25.859655,85.77944,OZONE,6,10,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",12-04-2026 11:00,24.952822,84.002396,PM10,61,142,97
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",12-04-2026 11:00,25.366336,87.117468,CO,55,60,59
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",12-04-2026 11:00,25.892357,86.590325,NO2,4,10,7
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",12-04-2026 11:00,25.599486,85.113666,OZONE,26,35,31
India,Bihar,Patna,"Samanpura, Patna - BSPCB",12-04-2026 11:00,25.596727,85.085624,CO,40,127,62
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",12-04-2026 11:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",12-04-2026 11:00,25.892357,86.590325,OZONE,14,15,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",12-04-2026 11:00,25.859655,85.77944,PM10,22,137,91
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",12-04-2026 11:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB",12-04-2026 11:00,25.619651,85.147382,SO2,9,12,10
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",12-04-2026 11:00,22.1910172,83.5197009,NO2,14,61,31
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",12-04-2026 11:00,22.1910172,83.5197009,OZONE,11,145,45
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",12-04-2026 11:00,21.258815,81.578979,PM2.5,27,213,73
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",12-04-2026 11:00,21.258815,81.578979,NO2,33,52,43
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",12-04-2026 11:00,21.258815,81.578979,SO2,6,10,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",12-04-2026 11:00,21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",12-04-2026 11:00,21.237755,81.705301,PM10,43,131,82
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",12-04-2026 11:00,21.237755,81.705301,OZONE,1,51,8
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",12-04-2026 11:00,22.118125,83.140608,PM2.5,29,68,50
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",12-04-2026 11:00,22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",12-04-2026 11:00,22.118125,83.140608,SO2,5,92,11
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",12-04-2026 11:00,22.368195,82.746431,PM10,38,76,56
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2026 11:00,22.348441,82.549611,PM10,22,150,64
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",12-04-2026 11:00,30.751462,76.762879,OZONE,1,65,20
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",12-04-2026 11:00,30.719859,76.738637,NH3,13,16,15
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",12-04-2026 11:00,30.719859,76.738637,SO2,6,6,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",12-04-2026 11:00,21.194815,81.31477,CO,10,67,41
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",12-04-2026 11:00,21.224231,81.40835,PM2.5,18,92,46
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",12-04-2026 11:00,21.224231,81.40835,PM10,29,145,65
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",12-04-2026 11:00,21.224231,81.40835,OZONE,4,17,10
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2026 11:00,22.12665,83.483212,PM2.5,11,48,32
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2026 11:00,22.12665,83.483212,NH3,2,2,2
India,Delhi,Delhi,"Alipur, Delhi - DPCC",12-04-2026 11:00,28.815329,77.15301,PM2.5,27,356,135
India,Delhi,Delhi,"Alipur, Delhi - DPCC",12-04-2026 11:00,28.815329,77.15301,NH3,11,14,12
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",12-04-2026 11:00,21.371751,81.664929,PM10,77,143,115
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",12-04-2026 11:00,22.08815,82.13737,CO,2,118,26
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",12-04-2026 11:00,28.647622,77.315809,NH3,5,8,6
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-04-2026 11:00,28.73282,77.170633,PM2.5,68,423,158
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-04-2026 11:00,28.73282,77.170633,PM10,109,403,182
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-04-2026 11:00,28.73282,77.170633,NH3,11,17,15
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",12-04-2026 11:00,28.73282,77.170633,OZONE,8,53,23
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",12-04-2026 11:00,28.58028,77.233829,PM10,108,414,172
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",12-04-2026 11:00,28.58028,77.233829,OZONE,2,76,24
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",12-04-2026 11:00,28.5918245,77.2273074,OZONE,22,122,54
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",12-04-2026 11:00,28.615828,77.271992,NH3,2,7,4
India,Delhi,Delhi,"DTU, Delhi - CPCB",12-04-2026 11:00,28.7500499,77.1112615,NH3,9,17,12
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",12-04-2026 11:00,28.498571,77.26484,SO2,9,66,18
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",12-04-2026 11:00,28.5710274,77.0719006,NO2,27,108,52
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",12-04-2026 11:00,28.5710274,77.0719006,NH3,8,42,14
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",12-04-2026 11:00,28.493624,77.201159,PM2.5,23,372,152
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",12-04-2026 11:00,28.493624,77.201159,NO2,7,117,50
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",12-04-2026 11:00,28.493624,77.201159,NH3,1,5,4
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",12-04-2026 11:00,28.6811736,77.3025234,NO2,40,101,64
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",12-04-2026 11:00,28.54246,77.191651,PM10,105,309,158
India,Delhi,Delhi,"ITO, Delhi - CPCB",12-04-2026 11:00,28.628624,77.24106,SO2,15,35,25
India,Delhi,Delhi,"JNU, Delhi - DPCC",12-04-2026 11:00,28.540721,77.168544,PM2.5,29,341,116
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-04-2026 11:00,28.684678,77.076574,NH3,4,11,7
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-04-2026 11:00,28.684678,77.076574,SO2,20,53,29
India,Delhi,Delhi,"Mundka, Delhi - DPCC",12-04-2026 11:00,28.684678,77.076574,CO,33,65,49
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",12-04-2026 11:00,28.647622,77.315809,CO,24,74,51
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",12-04-2026 11:00,28.695381,77.181665,CO,2,64,22
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",12-04-2026 11:00,28.611281,77.237738,PM2.5,13,331,87
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",12-04-2026 11:00,28.611281,77.237738,NH3,12,17,13
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",12-04-2026 11:00,28.5512005,77.2735737,PM10,100,247,147
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",12-04-2026 11:00,28.623763,77.287209,OZONE,4,56,24
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",12-04-2026 11:00,28.674045,77.131023,SO2,31,42,36
India,Delhi,Delhi,"Pusa, Delhi - DPCC",12-04-2026 11:00,28.639652,77.146275,PM10,107,311,170
India,Delhi,Delhi,"Pusa, Delhi - DPCC",12-04-2026 11:00,28.639652,77.146275,NH3,7,20,15
India,Delhi,Delhi,"Pusa, Delhi - DPCC",12-04-2026 11:00,28.639652,77.146275,OZONE,4,36,17
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",12-04-2026 11:00,28.563262,77.186937,NO2,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",12-04-2026 11:00,28.563262,77.186937,SO2,9,100,42
India,Delhi,Delhi,"Rohini, Delhi - DPCC",12-04-2026 11:00,28.732528,77.11992,PM2.5,27,429,142
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2026 11:00,28.672342,77.31526,PM2.5,37,332,126
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2026 11:00,28.672342,77.31526,PM10,103,230,150
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",12-04-2026 11:00,28.672342,77.31526,OZONE,6,58,21
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",12-04-2026 11:00,28.699793,77.165453,NH3,7,8,8
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2026 11:00,23.107969,72.574648,PM10,112,380,177
